theta0,theta1
8462.646695, -0.021083
8463.013903, -0.021087
8463.376792, -0.021090
8463.737520, -0.021094
8464.093929, -0.021097
8464.446017, -0.021101
8464.795945, -0.021104
8465.141553, -0.021108
8465.482841, -0.021111
8465.821969, -0.021115
8466.156777, -0.021118
8466.489425, -0.021121
8466.817753, -0.021124
8467.143920, -0.021128
8467.465768, -0.021131
8467.785455, -0.021134
8468.100823, -0.021137
8468.414030, -0.021140
8468.722917, -0.021143
8469.029645, -0.021146
8469.334212, -0.021149
8469.634459, -0.021152
8469.932546, -0.021155
8470.226313, -0.021158
8470.517919, -0.021161
8470.807366, -0.021164
8471.092493, -0.021167
8471.375460, -0.021170
8471.656266, -0.021172
8471.934913, -0.021175
8472.209239, -0.021178
8472.481406, -0.021180
8472.751412, -0.021183
8473.019258, -0.021186
8473.282784, -0.021188
8473.544150, -0.021191
8473.803357, -0.021194
8474.060403, -0.021196
8474.313129, -0.021199
8474.563694, -0.021201
8474.812100, -0.021204
8475.058346, -0.021206
8475.302432, -0.021208
8475.544357, -0.021211
8475.784123, -0.021213
8476.021729, -0.021215
8476.255014, -0.021218
8476.486139, -0.021220
8476.715105, -0.021222
8476.941910, -0.021225
8477.166555, -0.021227
8477.389041, -0.021229
8477.609366, -0.021231
8477.827531, -0.021233
8478.043536, -0.021235
8478.257381, -0.021238
8478.469066, -0.021240
8478.678591, -0.021242
8478.885956, -0.021244
8479.091161, -0.021246
8479.294205, -0.021248
8479.495090, -0.021250
8479.693815, -0.021252
8479.892539, -0.021254
8480.089104, -0.021256
8480.283509, -0.021258
8480.475753, -0.021260
8480.665837, -0.021261
8480.853762, -0.021263
8481.039526, -0.021265
8481.223131, -0.021267
8481.406735, -0.021269
8481.588179, -0.021271
8481.767463, -0.021272
8481.944587, -0.021274
8482.119552, -0.021276
8482.292356, -0.021278
8482.465160, -0.021279
8482.635804, -0.021281
8482.804288, -0.021283
8482.970612, -0.021284
8483.136935, -0.021286
8483.301099, -0.021287
8483.463103, -0.021289
8483.622947, -0.021291
8483.782791, -0.021292
8483.940474, -0.021294
8484.095998, -0.021295
8484.249362, -0.021297
8484.402725, -0.021298
8484.553929, -0.021300
8484.702972, -0.021301
8484.852016, -0.021303
8484.998899, -0.021304
8485.143622, -0.021306
8485.288346, -0.021307
8485.430909, -0.021309
8485.571313, -0.021310
8485.711716, -0.021311
8485.849959, -0.021313
8485.986042, -0.021314
8486.122125, -0.021315
8486.256049, -0.021317
8486.387812, -0.021318
8486.519575, -0.021319
8486.649178, -0.021321
8486.778781, -0.021322
8486.906224, -0.021323
8487.031507, -0.021324
8487.156790, -0.021326
8487.279913, -0.021327
8487.403035, -0.021328
8487.523998, -0.021329
8487.644961, -0.021330
8487.763764, -0.021332
8487.880407, -0.021333
8487.997049, -0.021334
8488.111532, -0.021335
8488.226015, -0.021336
8488.338337, -0.021337
8488.450660, -0.021338
8488.560823, -0.021340
8488.670985, -0.021341
8488.778988, -0.021342
8488.886990, -0.021343
8488.992833, -0.021344
8489.098675, -0.021345
8489.202358, -0.021346
8489.306040, -0.021347
8489.407562, -0.021348
8489.509085, -0.021349
8489.610607, -0.021350
8489.709970, -0.021351
8489.809332, -0.021352
8489.906534, -0.021353
8490.003736, -0.021354
8490.098779, -0.021355
8490.193821, -0.021356
8490.286703, -0.021357
8490.379585, -0.021358
8490.470307, -0.021358
8490.561030, -0.021359
8490.651752, -0.021360
8490.740314, -0.021361
8490.828876, -0.021362
8490.915278, -0.021363
8491.001680, -0.021364
8491.088082, -0.021365
8491.172324, -0.021365
8491.256566, -0.021366
8491.338648, -0.021367
8491.420730, -0.021368
8491.502812, -0.021369
8491.582733, -0.021369
8491.662655, -0.021370
8491.742577, -0.021371
8491.820339, -0.021372
8491.898101, -0.021373
8491.975863, -0.021373
8492.051464, -0.021374
8492.127066, -0.021375
8492.200508, -0.021376
8492.273950, -0.021376
8492.347391, -0.021377
8492.418673, -0.021378
8492.489955, -0.021378
8492.561236, -0.021379
8492.630358, -0.021380
8492.699480, -0.021380
8492.768601, -0.021381
8492.835563, -0.021382
8492.902524, -0.021383
8492.969486, -0.021383
8493.036448, -0.021384
8493.101249, -0.021384
8493.166051, -0.021385
8493.230852, -0.021386
8493.293494, -0.021386
8493.356135, -0.021387
8493.418777, -0.021388
8493.479258, -0.021388
8493.539739, -0.021389
8493.600221, -0.021389
8493.660702, -0.021390
8493.719024, -0.021391
8493.777345, -0.021391
8493.835666, -0.021392
8493.893988, -0.021392
8493.950149, -0.021393
8494.006310, -0.021393
8494.062472, -0.021394
8494.118633, -0.021395
8494.172634, -0.021395
8494.226636, -0.021396
8494.280637, -0.021396
8494.334638, -0.021397
8494.386479, -0.021397
