theta0,theta1
0.937682, -0.999255
0.937698, -0.999298
0.937714, -0.999340
0.937730, -0.999382
0.937746, -0.999424
0.937762, -0.999465
0.937777, -0.999506
0.937792, -0.999546
0.937807, -0.999586
0.937822, -0.999626
0.937837, -0.999665
0.937852, -0.999704
0.937867, -0.999742
0.937881, -0.999780
0.937895, -0.999818
0.937909, -0.999855
0.937923, -0.999892
0.937937, -0.999929
0.937951, -0.999965
0.937965, -1.000001
0.937978, -1.000037
0.937991, -1.000072
0.938004, -1.000107
0.938017, -1.000141
0.938030, -1.000175
0.938043, -1.000209
0.938056, -1.000242
0.938069, -1.000275
0.938081, -1.000308
0.938093, -1.000340
0.938105, -1.000372
0.938117, -1.000404
0.938129, -1.000435
0.938141, -1.000466
0.938153, -1.000497
0.938164, -1.000528
0.938176, -1.000558
0.938187, -1.000588
0.938198, -1.000618
0.938209, -1.000647
0.938220, -1.000676
0.938231, -1.000705
0.938242, -1.000733
0.938253, -1.000761
0.938263, -1.000789
0.938274, -1.000817
0.938284, -1.000844
0.938294, -1.000871
0.938304, -1.000898
0.938314, -1.000925
0.938324, -1.000951
0.938334, -1.000977
0.938344, -1.001003
0.938354, -1.001029
0.938364, -1.001054
0.938373, -1.001079
0.938382, -1.001104
0.938391, -1.001129
0.938400, -1.001153
0.938409, -1.001177
0.938418, -1.001201
0.938427, -1.001224
0.938436, -1.001247
0.938445, -1.001270
0.938454, -1.001293
0.938463, -1.001316
0.938471, -1.001338
0.938479, -1.001360
0.938487, -1.001382
0.938495, -1.001404
0.938503, -1.001425
0.938511, -1.001446
0.938519, -1.001467
0.938527, -1.001488
0.938535, -1.001509
0.938543, -1.001529
0.938551, -1.001549
0.938559, -1.001569
0.938566, -1.001589
0.938574, -1.001609
0.938581, -1.001629
0.938588, -1.001648
0.938595, -1.001667
0.938602, -1.001686
0.938609, -1.001705
0.938616, -1.001723
0.938623, -1.001741
0.938630, -1.001759
0.938637, -1.001777
0.938644, -1.001795
0.938651, -1.001813
0.938658, -1.001830
0.938664, -1.001847
0.938670, -1.001864
0.938677, -1.001881
0.938683, -1.001898
0.938689, -1.001915
0.938695, -1.001931
0.938701, -1.001947
0.938707, -1.001963
0.938713, -1.001979
0.938719, -1.001995
0.938725, -1.002011
0.938731, -1.002026
0.938737, -1.002041
0.938743, -1.002056
0.938749, -1.002071
0.938755, -1.002086
0.938761, -1.002101
0.938766, -1.002116
0.938771, -1.002131
0.938777, -1.002145
0.938782, -1.002159
0.938787, -1.002173
0.938792, -1.002187
0.938797, -1.002201
0.938802, -1.002215
0.938807, -1.002228
0.938812, -1.002241
0.938817, -1.002254
0.938822, -1.002267
0.938827, -1.002280
0.938832, -1.002293
0.938837, -1.002306
0.938842, -1.002319
0.938847, -1.002331
0.938852, -1.002343
0.938857, -1.002355
0.938861, -1.002367
0.938866, -1.002379
0.938870, -1.002391
0.938874, -1.002403
0.938879, -1.002415
0.938883, -1.002427
0.938887, -1.002438
0.938891, -1.002449
0.938895, -1.002460
0.938899, -1.002471
0.938903, -1.002482
0.938907, -1.002493
0.938911, -1.002504
0.938915, -1.002515
0.938919, -1.002525
0.938923, -1.002535
0.938927, -1.002545
0.938931, -1.002555
0.938935, -1.002565
0.938939, -1.002575
0.938943, -1.002585
0.938947, -1.002595
0.938951, -1.002605
0.938955, -1.002615
0.938959, -1.002625
0.938963, -1.002634
0.938966, -1.002643
0.938969, -1.002652
0.938972, -1.002661
0.938976, -1.002670
0.938979, -1.002679
0.938982, -1.002688
0.938985, -1.002697
0.938989, -1.002706
0.938992, -1.002715
0.938995, -1.002723
0.938998, -1.002731
0.939001, -1.002739
0.939004, -1.002747
0.939007, -1.002755
0.939010, -1.002763
0.939013, -1.002771
0.939016, -1.002779
0.939019, -1.002787
0.939022, -1.002795
0.939025, -1.002803
0.939028, -1.002811
0.939031, -1.002819
0.939034, -1.002826
0.939037, -1.002833
0.939040, -1.002840
0.939043, -1.002847
0.939046, -1.002854
0.939049, -1.002861
0.939052, -1.002868
0.939054, -1.002875
0.939057, -1.002882
0.939059, -1.002889
0.939062, -1.002896
0.939064, -1.002903
0.939067, -1.002910
0.939069, -1.002917
0.939072, -1.002924
0.939074, -1.002930
0.939076, -1.002936
0.939079, -1.002942
0.939081, -1.002948
0.939083, -1.002954
0.939085, -1.002960
0.939087, -1.002966
0.939089, -1.002972
0.939092, -1.002978
0.939094, -1.002984
0.939096, -1.002990
0.939098, -1.002996
0.939100, -1.003002
0.939102, -1.003008
0.939105, -1.003014
0.939107, -1.003019
0.939109, -1.003024
0.939111, -1.003029
0.939113, -1.003034
0.939115, -1.003039
0.939117, -1.003044
0.939119, -1.003049
0.939121, -1.003054
0.939123, -1.003059
0.939125, -1.003064
0.939127, -1.003069
0.939129, -1.003074
0.939131, -1.003079
0.939133, -1.003084
0.939135, -1.003089
0.939137, -1.003094
0.939139, -1.003099
0.939141, -1.003104
0.939143, -1.003109
0.939145, -1.003114
0.939147, -1.003119
0.939148, -1.003124
0.939150, -1.003129
0.939152, -1.003133
0.939154, -1.003137
0.939155, -1.003141
0.939156, -1.003145
0.939158, -1.003149
0.939159, -1.003153
0.939161, -1.003157
0.939162, -1.003161
0.939164, -1.003165
0.939165, -1.003169
0.939166, -1.003173
0.939168, -1.003177
0.939169, -1.003181
0.939171, -1.003185
0.939172, -1.003189
0.939174, -1.003193
0.939175, -1.003197
0.939177, -1.003201
0.939178, -1.003205
0.939179, -1.003209
0.939181, -1.003213
0.939182, -1.003217
0.939184, -1.003220
0.939185, -1.003224
0.939186, -1.003227
0.939187, -1.003230
0.939188, -1.003233
